winner,loser,probability
Oklahoma City Thunder,Golden State Warriors,0.5909793911232524
Philadelphia 76ers,Portland Trail Blazers,0.5228041419782529
Phoenix Suns,Milwaukee Bucks,0.60366314211161
Sacramento Kings,Los Angeles Lakers,0.5369959988276504
Utah Jazz,Chicago Bulls,0.5079930256063911
New York Knicks,Atlanta Hawks,0.5318574318286255
Boston Celtics,Orlando Magic,0.5081875491609027
Brooklyn Nets,Portland Trail Blazers,0.5013794366428379
Cleveland Cavaliers,Charlotte Hornets,0.502752279306608
Denver Nuggets,Memphis Grizzlies,0.54174345123759
Golden State Warriors,Chicago Bulls,0.5306342240194151
Indiana Pacers,Toronto Raptors,0.5944261257269653
Minnesota Timberwolves,Miami Heat,0.5308135563363675
Detroit Pistons,Oklahoma City Thunder,0.5108807411721397
Phoenix Suns,New Orleans Pelicans,0.5380932988927951
Atlanta Hawks,Toronto Raptors,0.5495100049889988
Charlotte Hornets,San Antonio Spurs,0.5166079979557441
Dallas Mavericks,Oklahoma City Thunder,0.5605760706052232
Golden State Warriors,New Orleans Pelicans,0.5035496032661394
Houston Rockets,New York Knicks,0.5215334570973413
Indiana Pacers,Boston Celtics,0.5717850272423396
Orlando Magic,Philadelphia 76ers,0.5225264812340507
Sacramento Kings,Los Angeles Clippers,0.5886566798654119
Utah Jazz,Milwaukee Bucks,0.5477455028357905
Portland Trail Blazers,Washington Wizards,0.5107056826931816
Chicago Bulls,Miami Heat,0.5005077295796535
Memphis Grizzlies,Brooklyn Nets,0.5212008869179972
Minnesota Timberwolves,Phoenix Suns,0.5423910474219983
Boston Celtics,Detroit Pistons,0.5067265480898057
Golden State Warriors,Sacramento Kings,0.5626469975207286
Houston Rockets,Brooklyn Nets,0.5088065525291506
Orlando Magic,Indiana Pacers,0.5137225406289504
Los Angeles Clippers,Los Angeles Lakers,0.5369093270156884
New York Knicks,Portland Trail Blazers,0.5222394840740195
Philadelphia 76ers,Cleveland Cavaliers,0.5769479794980783
San Antonio Spurs,Dallas Mavericks,0.541910650077228
Chicago Bulls,Phoenix Suns,0.512145742252939
Cleveland Cavaliers,Miami Heat,0.5244795891714132
Minnesota Timberwolves,Washington Wizards,0.5602428551926166
Sacramento Kings,Milwaukee Bucks,0.580796821907072
Utah Jazz,Denver Nuggets,0.5439275348145818
Brooklyn Nets,Dallas Mavericks,0.5006323489854229
Phoenix Suns,Detroit Pistons,0.5113647329153097
Houston Rockets,Indiana Pacers,0.5590930090458595
Los Angeles Lakers,Golden State Warriors,0.5989137777700879
New Orleans Pelicans,Minnesota Timberwolves,0.5096355800978929
New York Knicks,Miami Heat,0.5212870424111963
Orlando Magic,Oklahoma City Thunder,0.5362247343162962
Philadelphia 76ers,Washington Wizards,0.5513681225736645
San Antonio Spurs,Memphis Grizzlies,0.5411387221344462
Toronto Raptors,Charlotte Hornets,0.5297943909390124
Atlanta Hawks,Cleveland Cavaliers,0.5403912109358503
Boston Celtics,Philadelphia 76ers,0.558699114650402
Denver Nuggets,Chicago Bulls,0.5126577329813876
Los Angeles Clippers,Utah Jazz,0.5831028395579227
Portland Trail Blazers,Milwaukee Bucks,0.5799556415691572
Chicago Bulls,Sacramento Kings,0.5174361268385076
Memphis Grizzlies,San Antonio Spurs,0.5737961327028847
Charlotte Hornets,Miami Heat,0.5031892415885719
Oklahoma City Thunder,Minnesota Timberwolves,0.5692192513587735
Orlando Magic,Golden State Warriors,0.5609152273397684
Toronto Raptors,Indiana Pacers,0.5722103237957405
New Orleans Pelicans,Utah Jazz,0.5191199450930521
Detroit Pistons,Washington Wizards,0.5572778171777688
Boston Celtics,Phoenix Suns,0.5638850571367416
Atlanta Hawks,Brooklyn Nets,0.5160442275862713
Cleveland Cavaliers,Memphis Grizzlies,0.538234960482669
Dallas Mavericks,Los Angeles Clippers,0.5611019080052787
Denver Nuggets,Los Angeles Lakers,0.5081098627203815
Milwaukee Bucks,Sacramento Kings,0.535007494501073
Detroit Pistons,Philadelphia 76ers,0.5239846460774961
Portland Trail Blazers,New Orleans Pelicans,0.5136237539336564
Los Angeles Lakers,Houston Rockets,0.5702965610860969
Miami Heat,Golden State Warriors,0.5750048236014307
Minnesota Timberwolves,Los Angeles Clippers,0.5631341781902434
Orlando Magic,New York Knicks,0.5230911096958002
Oklahoma City Thunder,San Antonio Spurs,0.5584228667536749
Brooklyn Nets,Atlanta Hawks,0.544521738075515
Boston Celtics,Milwaukee Bucks,0.5765177512150701
Chicago Bulls,Cleveland Cavaliers,0.555970683908422
Orlando Magic,Charlotte Hornets,0.5513166392274177
Dallas Mavericks,Denver Nuggets,0.5493053093523794
Indiana Pacers,New York Knicks,0.5139962698280349
Memphis Grizzlies,Minnesota Timberwolves,0.5844963194830087
New Orleans Pelicans,Golden State Warriors,0.5319305527674992
Philadelphia 76ers,Phoenix Suns,0.5334560612284855
Detroit Pistons,San Antonio Spurs,0.5184390690770636
Utah Jazz,Washington Wizards,0.552849667032813
Oklahoma City Thunder,Utah Jazz,0.5616556592231949
Portland Trail Blazers,Washington Wizards,0.5849717246482475
Toronto Raptors,Phoenix Suns,0.5628822899403647
Boston Celtics,Dallas Mavericks,0.5667821851972664
Charlotte Hornets,Golden State Warriors,0.5497617840048252
Cleveland Cavaliers,Sacramento Kings,0.5413400581670453
Indiana Pacers,Chicago Bulls,0.5153068615608669
Los Angeles Clippers,Minnesota Timberwolves,0.590566134311609
Detroit Pistons,Milwaukee Bucks,0.5277109705367515
Denver Nuggets,New Orleans Pelicans,0.5043658489211759
New York Knicks,Memphis Grizzlies,0.5350528962459542
Atlanta Hawks,Orlando Magic,0.5122707102458173
San Antonio Spurs,Miami Heat,0.5273938979746173
Brooklyn Nets,Oklahoma City Thunder,0.5324660087139381
Philadelphia 76ers,Los Angeles Lakers,0.501946018878531
Phoenix Suns,Washington Wizards,0.6085871864700076
Utah Jazz,Houston Rockets,0.5507358855221447
Chicago Bulls,Charlotte Hornets,0.5224452405985649
Detroit Pistons,Golden State Warriors,0.5339581181599494
Indiana Pacers,Cleveland Cavaliers,0.5855307628606453
Memphis Grizzlies,Toronto Raptors,0.6135135191858545
Milwaukee Bucks,Dallas Mavericks,0.5326706454900314
Sacramento Kings,New Orleans Pelicans,0.5081073211390699
Orlando Magic,Denver Nuggets,0.5248587827255552
San Antonio Spurs,Boston Celtics,0.5685891594478469
Orlando Magic,Atlanta Hawks,0.5593455041502489
Brooklyn Nets,Miami Heat,0.5004251902044623
New York Knicks,Chicago Bulls,0.5161681811081159
Los Angeles Lakers,Charlotte Hornets,0.5269839566234841
